Species,Common Name,Review ID,Ver.,Type,ID,Method,Site From,Site To,Sites between,#animals,Months start,Months end
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,3,Telemetry,E,F,,1,(UNK),(UNK)
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,4,Telemetry,A,G,,1,OCT,NOV
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,5,Telemetry,G,H,,1,NOV,DEC
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,6,Telemetry,H,I,,1,FEB,FEB
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,7,Telemetry,I,H,,1,FEB,FEB
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,8,Telemetry,B,J,,1,MAR,MAR
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,9,Telemetry,J,K,,1,MAR,APR
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,10,Telemetry,K,L,,1,APR,APR
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,11,Telemetry,L,M,,1,APR,MAY
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,1,Telemetry,A,B,,1,APR,JUN
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,2,Telemetry,A,C,,1,MAY,JUL
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,3,Telemetry,A,D,,1,MAY,JUN
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,4,Telemetry,A,E,,3,MAR; APR,APR; JUN
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,5,Telemetry,A,F,,1,MAY,JUN
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,6,Telemetry,A,G,,3,MAR; APR,APR; MAY
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,1,Telemetry,A,C,,1,JUL,JUL
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,2,Telemetry,C,A,,1,AUG,AUG
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,3,Telemetry,A,C,,1,AUG,AUG
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,4,Telemetry,C,A,,1,AUG,AUG
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,5,Telemetry,A,C,,1,AUG,AUG
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,6,Telemetry,C,A,,1,AUG,AUG
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,7,Telemetry,A,D,,1,AUG,AUG
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,8,Telemetry,B,E,,2,NOV,NOV
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,9,Telemetry,E,F,,1,FEB,FEB
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,1000000,Route,10,Telemetry,F,E,,1,MAR,MAR
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,1000000,Connection,1,Telemetry,A,D,,3,JUL,(UNK)
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,1000000,Connection,2,Telemetry,B,D,,2,(UNK),(UNK)
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,1000000,Connection,3,Telemetry,B,E,,1,(UNK),(UNK)
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,1000000,Connection,4,Telemetry,B,F,,2,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,1,Telemetry,A,E,,2,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,2,Telemetry,A,F,,6,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,3,Telemetry,A,G,,7,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,4,Telemetry,A,I,,1,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,5,Telemetry,A,J,,1,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,6,Telemetry,A,L,,1,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,7,Telemetry,A,M,,2,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,8,Telemetry,A,N,,1,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,9,Telemetry,B,F,,1,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,10,Telemetry,B,K,,2,(UNK),(UNK)
CHMY,Green,8HTTVJJE_Stokes_etal_2015_Chmy,1000000,Route,11,Telemetry,B,M,,2,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,1,Telemetry,A,C,,4,MAR; MAY,MAR; MAY
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,2,Telemetry,C,A,,4,(UNK),JUN; (UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,3,Telemetry,A,C,,2,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,4,Telemetry,C,A,,2,(UNK),MAY; (UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,5,Telemetry,A,C,,1,(UNK),(UNK)
