Species,CommonName,ReviewID,MetaSiteID,Duplicate,Publication.Year,Radius,Sampling,Sampling Technique,Activities,Sat F,Sat M,Sat U,Sat A,Sat AB,Sat AI,Sat I,Sat J,Sat Sub,Sat Unk,F,M,U,A,AB,AI,I,J,SUB,UNK,Basin,Long,Lat,N. Pub
CHMY,Green,76V7QMUX_McClellan_and_Read_2010_Chmy,CU,TRUE,2010,1,SIGHTINGS (NO TAG/SAMPLE),Sightings,FEE,,,,,,,,,,,,,9,,,,,9,,,ATL,-75.5,35.2,1
CHMY,Green,76V7QMUX_McClellan_and_Read_2010_Chmy,CU,FALSE,2010,1,ACOUSTIC/SONIC TAG (TELEMETRY); SATELLITE TAG (ARGOS),Combined Techniques,OBS,,,,,,,,,,,,,1,,,,,1,,,ATL,-76.25,34.5,1
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,DR,FALSE,2018,1,FLIPPER TAG; PASSIVE INTEGRATED TRANSPONDER (PIT),Mark-Recapture,FEE;OBS,,,,,,,,,,,32,45,478,123,,,,239,193,,PAC,-162.08,5.883,1
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,DR,TRUE,2018,1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),Satellite Telemetry,FEE;OBS,1,15,2,,,,,,,,,,,,,,,,,,PAC,-162.08,5.883,1
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,EO,FALSE,2018,1,FLIPPER TAG,Mark-Recapture,OBS,,,,,,,,,,,1,,,1,,,,,,,PAC,-157.503,1.948,1
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,EP,FALSE,2018,1,FLIPPER TAG,Mark-Recapture,OBS,,,,,,,,,,,,,1,,,,,,,1,PAC,162.917,5.35,1
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,EQ,FALSE,2018,5,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,1,,1,,,,,,,PAC,-147.602,8.487,1
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,CF,FALSE,2015,5,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,24,,,,,24,,,,,15,,,,,15,,,ATL,-85,27,1
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,CF,TRUE,2015,5,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,,4,,,,,4,,,ATL,-85,24,1
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,CQ,FALSE,2015,5,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,,2,,,,,2,,,ATL,-91,23,1
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,DS,FALSE,2015,5,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,,3,,,,,3,,,ATL,-92,28.5,1
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,DS,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,,24,,,,,24,,,ATL,-88.7,29.5,1
CHMY,Green,8724N55R_Clyde-Brockway_etal_2019_Chmy,AL,FALSE,2019,1,PASSIVE INTEGRATED TRANSPONDER (PIT),Mark-Recapture,BRE,,,,,,,,,,,202,,,,202,,,,,,PAC,-86.009,10.585,1
CHMY,Green,8724N55R_Clyde-Brockway_etal_2019_Chmy,AL,TRUE,2019,1,POP-UP SATELLITE ARCHIVAL TAG (PSAT); SATELLITE TAG (ARGOS),Satellite Telemetry,BRE,21,,,,,,,,,,,,,,202,,,,,,PAC,-86.009,10.585,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,4,,,,,4,,,,,1,,,,,1,,,PAC,-156.88,20.926,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,,3,,,,,3,,,PAC,-156.458,20.608,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,,1,,,,,1,,,PAC,-156.3,20.6,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,1,,,PAC,-156.422,20.575,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,1,,,PAC,-156.616,21.057,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,1,,,PAC,-156.713,20.897,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,1,,,PAC,-156.697,20.966,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,,,1,PAC,-156.317,20.963,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,CM,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,1,,,PAC,-156.511,20.97,1
