MetaUniqueID_From,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Connections.to.Foraging,Basin,RMU_From,MetaUniqueID_To,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Site,Connections.to.Foraging,Basin,RMU_To,Lat1,Lon1,Lat2,Lon2,Distance
METACHMY_AZ,NES,Island,Maret Is,-14.483,125.097,21,1,NA,6,IND,6,METACHMY_CE,FEE,Insular,"Coastal Raine Island;North of Cape York,Australia;Torres Strait;Torres Straight, Australia;Torres Strait, Australia",-10.39138906,142.4845648,12,5,2,1,NA,PAC,6;7,-0.252776036,2.183354534,-0.181363953,2.486824789,1941.303408
METACHMY_AO,NA,NA,NA,24.673,-82.825,NA,NA,NA,NA,NA,1,METACHMY_CF,FEE,Coastal,"East Gulf of Mexico;Folrida Waters;Southeast Gulf of Mexico;St. Joseph's Bay, Florida;Near Everglades National Park;West of Cape Sable;Cape Canaveral, Patrick, Florida;East Florida;North coast of Cuba;Southeast Florida;Boca Raton, Florida;West of Longboat Key, Florida;South of Biscayne National Park",27.32750841,-83.10989568,83,5,2,1,3,ATL,1,0.430625086,-1.445568953,0.476954998,-1.450541321,296.8629753
METACHMY_AV,NES,Continental,"Tortuguero, Costa Rica;Costa Rica;Waters around Tortuguero, Costa Rica",10.25399986,-83.23399996,47338,1,NA,13,ATL,1,METACHMY_CF,FEE,Coastal,"East Gulf of Mexico;Folrida Waters;Southeast Gulf of Mexico;St. Joseph's Bay, Florida;Near Everglades National Park;West of Cape Sable;Cape Canaveral, Patrick, Florida;East Florida;North coast of Cuba;Southeast Florida;Boca Raton, Florida;West of Longboat Key, Florida;South of Biscayne National Park",27.32750841,-83.10989568,83,5,2,1,3,ATL,1,0.178966059,-1.452707349,0.476954998,-1.450541321,1898.532031
METACHMY_BZ,NES,Island,Keewaydin Island and Sanibel Island,26.218,-81.945,10,1,NA,1,ATL,1,METACHMY_CF,FEE,Coastal,"East Gulf of Mexico;Folrida Waters;Southeast Gulf of Mexico;St. Joseph's Bay, Florida;Near Everglades National Park;West of Cape Sable;Cape Canaveral, Patrick, Florida;East Florida;North coast of Cuba;Southeast Florida;Boca Raton, Florida;West of Longboat Key, Florida;South of Biscayne National Park",27.32750841,-83.10989568,83,5,2,1,3,ATL,1,0.457590423,-1.430210056,0.476954998,-1.450541321,169.0960546
METACHMY_DO,NA,NA,NA,32.35,-64.71,NA,NA,NA,NA,NA,1,METACHMY_CF,FEE,Coastal,"East Gulf of Mexico;Folrida Waters;Southeast Gulf of Mexico;St. Joseph's Bay, Florida;Near Everglades National Park;West of Cape Sable;Cape Canaveral, Patrick, Florida;East Florida;North coast of Cuba;Southeast Florida;Boca Raton, Florida;West of Longboat Key, Florida;South of Biscayne National Park",27.32750841,-83.10989568,83,5,2,1,3,ATL,1,0.564614013,-1.129402559,0.476954998,-1.450541321,2120.827408
METACHMY_DS,NA,NA,NA,28.5,-92,NA,NA,NA,NA,NA,1,METACHMY_CF,FEE,Coastal,"East Gulf of Mexico;Folrida Waters;Southeast Gulf of Mexico;St. Joseph's Bay, Florida;Near Everglades National Park;West of Cape Sable;Cape Canaveral, Patrick, Florida;East Florida;North coast of Cuba;Southeast Florida;Boca Raton, Florida;West of Longboat Key, Florida;South of Biscayne National Park",27.32750841,-83.10989568,83,5,2,1,3,ATL,1,0.497418837,-1.605702912,0.476954998,-1.450541321,997.0948397
METACHMY_AV,NES,Continental,"Tortuguero, Costa Rica;Costa Rica;Waters around Tortuguero, Costa Rica",10.25399986,-83.23399996,47338,1,NA,13,ATL,1,METACHMY_CG,FEE,Coastal,"Tortuguero, Costa Rica;Nicaragua;Merilin Bar, Nicaragua;Panama;The Witties, Nicaragua;Miskito Cays, Nicaragua;Dead Man's Cay, Nicaragua;Secretary, Chiriqui Lagoon, Ngobe-Bugle Comarca, Panama;Zapatilla Cay, Panama",12.16898833,-82.34521866,4474,5,2,1,2,ATL,1,0.178966059,-1.452707349,0.212388913,-1.437195189,233.9635112
METACHMY_BU,NES,Island,"Playa Chikitu, Bonaire;Southwest coast of Bonaire",12.1075,-68.2425,4,1,NA,4,ATL,1,METACHMY_CG,FEE,Coastal,"Tortuguero, Costa Rica;Nicaragua;Merilin Bar, Nicaragua;Panama;The Witties, Nicaragua;Miskito Cays, Nicaragua;Dead Man's Cay, Nicaragua;Secretary, Chiriqui Lagoon, Ngobe-Bugle Comarca, Panama;Zapatilla Cay, Panama",12.16898833,-82.34521866,4474,5,2,1,2,ATL,1,0.211315739,-1.191056315,0.212388913,-1.437195189,1532.934842
METACHMY_CH,FEE,Coastal,"Brazilian bulge;Shores of Ceara & Paraiba States, Brazil;Brazil;Easternmost part of Brazilian bulge;Coastal Natal & Recife, Brazil;East of Brazilian Bulge;Brazilian coast;East Brazil;Coast of Ceara, Brazil;East of Brazil;Almofala waters, Ceara, Brazil;Atol das Rocas, offshore Brazil;Coast between Piaui & Ceara, Brazil;Southeast Brazilian coast;Fernando de Noronha",-5.215614447,-36.1234621,46,10,4,1,ATL,1,METACHMY_CG,FEE,Coastal,"Tortuguero, Costa Rica;Nicaragua;Merilin Bar, Nicaragua;Panama;The Witties, Nicaragua;Miskito Cays, Nicaragua;Dead Man's Cay, Nicaragua;Secretary, Chiriqui Lagoon, Ngobe-Bugle Comarca, Panama;Zapatilla Cay, Panama",12.16898833,-82.34521866,4474,5,2,1,2,ATL,1,-0.091029645,-0.630473351,0.212388913,-1.437195189,5462.876054
METACHMY_DO,NA,NA,NA,32.35,-64.71,NA,NA,NA,NA,NA,1,METACHMY_CG,FEE,Coastal,"Tortuguero, Costa Rica;Nicaragua;Merilin Bar, Nicaragua;Panama;The Witties, Nicaragua;Miskito Cays, Nicaragua;Dead Man's Cay, Nicaragua;Secretary, Chiriqui Lagoon, Ngobe-Bugle Comarca, Panama;Zapatilla Cay, Panama",12.16898833,-82.34521866,4474,5,2,1,2,ATL,1,0.564614013,-1.129402559,0.212388913,-1.437195189,2980.094919
