Species,CommonName,ReviewID,ZoteroID,Ver.,Method,SiteID,Location,Radius,Sampling,NumIDs,Numroutes,Numconns,Years,Monthsstart,Monthsend,Monthssampled,Activities,Behaviour,Sex,Lifestage,UniqueID,UniqueID_from,UniqueID_to,Title,Publication Year,Author,Basin,Long,Lat
CHMY,Green,2REUV67R_Cheng_2007_Chmy,2REUV67R,1.00E+06,T,A,"Taipin Tao, Nansha Archipelago, South China Sea",1,SATELLITE TAG (ARGOS),6,4,NA,2000; 2001; 2003,APR,(UNK),NA,NES,NES,"{ ""F"" : 6 }","{ ""A"" : 6 }",2REUV67R_A,2REUV67R_A,2REUV67R_A,"Nesting ecology and postnesting migration of sea turtles on Taipin Tao, Nansha Archipelago, South China Sea",2007,"Cheng, I.-Jiunn",PAC,114.366,10.377
CHMY,Green,2REUV67R_Cheng_2007_Chmy,2REUV67R,1.00E+06,T,B,"Palawan Island, Phillipines",1,SATELLITE TAG (ARGOS),3,1,NA,2000; 2001; 2003,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 3 }","{ ""A"" : 3 }",2REUV67R_B,2REUV67R_B,2REUV67R_B,"Nesting ecology and postnesting migration of sea turtles on Taipin Tao, Nansha Archipelago, South China Sea",2007,"Cheng, I.-Jiunn",PAC,117.994,9.354
CHMY,Green,2REUV67R_Cheng_2007_Chmy,2REUV67R,1.00E+06,T,C,"Northeast coast of Luzon, Philippines",1,SATELLITE TAG (ARGOS),1,1,NA,2000,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 1 }","{ ""A"" : 1 }",2REUV67R_C,2REUV67R_C,2REUV67R_C,"Nesting ecology and postnesting migration of sea turtles on Taipin Tao, Nansha Archipelago, South China Sea",2007,"Cheng, I.-Jiunn",PAC,122.391,17.485
CHMY,Green,2REUV67R_Cheng_2007_Chmy,2REUV67R,1.00E+06,T,D,"East Sabah, Malaysia facing Sulu Sea",1,SATELLITE TAG (ARGOS),1,1,NA,2001,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 1 }","{ ""A"" : 1 }",2REUV67R_D,2REUV67R_D,2REUV67R_D,"Nesting ecology and postnesting migration of sea turtles on Taipin Tao, Nansha Archipelago, South China Sea",2007,"Cheng, I.-Jiunn",PAC,119.197,5.57
CHMY,Green,2REUV67R_Cheng_2007_Chmy,2REUV67R,1.00E+06,T,E,"North Borneo near Labuan, Malaysia",1,SATELLITE TAG (ARGOS),1,1,NA,2003,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 1 }","{ ""A"" : 1 }",2REUV67R_E,2REUV67R_E,2REUV67R_E,"Nesting ecology and postnesting migration of sea turtles on Taipin Tao, Nansha Archipelago, South China Sea",2007,"Cheng, I.-Jiunn",PAC,115.05,5.197
CHMY,Green,2WPCNKV4_Cheng_etal_2013_Chmy,2WPCNKV4,1.00E+06,T,A,"Wan-an Island, Taiwan",1,ADVANCED DIVE BEHAVIOR TAG,4,NA,NA,2004; 2006,JUL; AUG,JUL; AUG,NA,NES,NES,"{ ""F"" : 4 }","{ ""AB"" : 4 }",2WPCNKV4_A,2WPCNKV4_A,2WPCNKV4_A,The behavioural choices of green turtles nesting at two environmentally different islands in Taiwan,2013,"Cheng, I. J.; Bentivegna, F.; Hochscheid, S.",PAC,119.489,23.356
CHMY,Green,2WPCNKV4_Cheng_etal_2013_Chmy,2WPCNKV4,1.00E+06,T,B,"Lanyu, Taitung County, Taiwan",1,ADVANCED DIVE BEHAVIOR TAG,6,NA,NA,2007; 2008,JUL; AUG,JUL; AUG,NA,NES,NES,"{ ""F"" : 6 }","{ ""AB"" : 6 }",2WPCNKV4_B,2WPCNKV4_B,2WPCNKV4_B,The behavioural choices of green turtles nesting at two environmentally different islands in Taiwan,2013,"Cheng, I. J.; Bentivegna, F.; Hochscheid, S.",PAC,121.551,22.026
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,2XCHJ488,1.00E+06,T,A,"La Gringa, Bahia de los Angeles, Gulf of California",1,RADIO TAG,3,NA,NA,1997; 1999,JUN; AUG,SEP; OCT,NA,FEE,FEE,"{ ""U"" : 2, ""M"" : 1 }","{ ""UNK"" : 3 }",2XCHJ488_A,2XCHJ488_A,2XCHJ488_A,"Home range of green turtles Chelonia mydas at a coastal foraging area in the Gulf of California, Mexico",2002,"Seminoff, J. A.; Resendiz, A.; Nichols, W. J.",PAC,-113.55,29.013
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,2XCHJ488,1.00E+06,T,B,"El Bajo, Bahia de los Angeles, Gulf of California",1,RADIO TAG,8,NA,NA,1998; 1999; 2000,JUN; JUL; AUG,AUG; SEP; OCT,NA,FEE,FEE,"{ ""M"" : 1, ""U"" : 7 }","{ ""UNK"" : 8 }",2XCHJ488_B,2XCHJ488_B,2XCHJ488_B,"Home range of green turtles Chelonia mydas at a coastal foraging area in the Gulf of California, Mexico",2002,"Seminoff, J. A.; Resendiz, A.; Nichols, W. J.",PAC,-113.53,28.975
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,2XCHJ488,1.00E+06,T,C,"El Rincon, Bahia de los Angeles, Gulf of California",1,RADIO TAG,1,NA,NA,1999,JUL,SEP,NA,FEE,FEE,"{ ""M"" : 1 }","{ ""UNK"" : 1 }",2XCHJ488_C,2XCHJ488_C,2XCHJ488_C,"Home range of green turtles Chelonia mydas at a coastal foraging area in the Gulf of California, Mexico",2002,"Seminoff, J. A.; Resendiz, A.; Nichols, W. J.",PAC,-113.503,28.909
